country,region,income,source,ref_year,internet_female,internet_male,gap_diff,gap_ratio,gdp_pc_ppp,flfp,enroll_fem,internet_total,urban_pct,gii,log_gdp
Sierra Leone,Sub-Saharan Africa,Low income,Findex 2024,2024,32.715962885150304,32.791966987514996,0.07600410236469202,0.9976822341156408,3098.76290446676,51.815,91.7119293212891,25.10499954,45.3626823156371,0.566,8.03875824775114
South Africa,Sub-Saharan Africa,Upper middle income,Findex 2024,2024,65.6124268898682,71.39410801305071,5.7816811231825085,0.919017391153264,13597.6538495998,49.801,107.464974022043,78.35759735,63.6917984858172,0.388,9.51765254578356
Sri Lanka,South Asia,Upper middle income,Findex 2024,2024,36.8688679028974,49.884576390114,13.0157084872166,0.739083511796724,13793.0669827677,30.998,90.4491165297148,54.59,20.2996997058686,0.367,9.531921352350809
Tajikistan,Europe & Central Asia,Lower middle income,Findex 2024,2024,55.192397682225305,70.2287521671385,15.03635448491319,0.7858946083916181,4755.93296704719,21.946,82.8936127916098,55.79339981,26.1788063651548,0.258,8.467148163314203
Tanzania,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,15.5773728482612,25.905900409104397,10.328527560843195,0.6013059805783346,3713.26293945313,80.288,29.2047595977783,31.16209984,36.1684458862992,0.504,8.219666267574178
Thailand,East Asia & Pacific,Upper middle income,Findex 2024,2024,86.45410581531,85.0834417287786,-1.3706640865314057,1.016109645527748,21882.2142474833,59.473,94.0628144371624,90.86718789,61.8689338391321,0.288,9.993429451026337
Togo,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,35.880633719045,51.861820569031,15.981186849986004,0.6918506393597551,3351.24993111939,56.604,59.0849653049812,39.48320007,43.8148491605996,0.564,8.117088668996463
Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Findex 2024,2024,64.6945894088917,71.418819305963,6.724229897071297,0.90584792688515,12774.9158568021,26.635,NA,76.5,70.3585355691955,0.238,9.45523882849852
Turkiye,Europe & Central Asia,Upper middle income,Findex 2024,2024,83.67492752787909,91.351647176788,7.6767196489089,0.9159651753837283,36154.490436557,36.786,116.872711181641,87.3078767,89.3443122873887,0.227,10.495556436651539
Uganda,Sub-Saharan Africa,Low income,Findex 2024,2024,30.482209664520298,47.1468265134127,16.6646168488924,0.6465378885225388,2879.67009290376,75.556,NA,8.949831061,31.2777698213557,0.524,7.965431015493433
Ukraine,Europe & Central Asia,Upper middle income,Findex 2024,2024,93.3097404697324,96.6777500085815,3.368009538849094,0.9651625163126972,16371.44140625,47.738,86.3840713500977,82.47489929,69.5315643200148,NA,9.703293718184032
Uzbekistan,Europe & Central Asia,Lower middle income,Findex 2024,2024,69.2500767371908,78.5172562938574,9.267179556666605,0.8819727026377054,10997.1707291644,41.273,96.4939184204858,89.50550079,50.9986686706543,0.291,9.305393312257658
"Venezuela, RB",Latin America & Caribbean,Lower middle income,Findex 2024,2024,88.13977034784139,90.6848022423472,2.5450318945057973,0.9719354088934944,NA,37.332,102.248580932617,76.67890167,89.285859883201,0.512,NA
Viet Nam,East Asia & Pacific,Upper middle income,Findex 2024,2024,87.1667687809593,88.6183431882713,1.4515744073119947,0.9836199329045444,14396.4217369473,68.905,90.5445572317873,84.15,38.4900703430176,0.299,9.574734964195445
West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Findex 2024,2024,93.70495129041028,94.4515363663102,0.7465850758999011,0.9920955750999704,4190.90911333626,18.934,92.1529721719084,86.63765334,87.1196014117004,NA,8.340672961537754
Zambia,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,31.42182052463,46.9710145844212,15.549194059791198,0.6689619290244504,3708.06904295647,56.366,59.0707702636719,17.10099983,45.4703838491279,0.524,8.218266546511444
Zimbabwe,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,26.947125797954204,36.9928950721101,10.045769274155898,0.7284405761005264,5211.89755587954,62.115,NA,41.64279938,39.8933716820696,0.519,8.558699282617862
