iso3,country,region,income,ref_year_itu,internet_female_itu,internet_male_itu,gap_diff_itu,gap_ratio_itu,internet_female_fx,internet_male_fx,gap_diff_fx,gap_ratio_fx,source,ref_year,internet_female,internet_male,gap_diff,gap_ratio,gdp_pc_ppp,gdp_pc_ppp_year,gdp_pc_const,gdp_pc_const_year,flfp,flfp_year,sec_enroll_fem_gross,sec_enroll_fem_gross_year,sec_enroll_fem_net,sec_enroll_fem_net_year,urban_pct,urban_pct_year,gii,gii_year,internet_total,internet_total_year,population,population_year,log_gdp,is_outlier
IND,India,South Asia,Lower middle income,NA,NA,NA,NA,NA,36.3262135673183,54.973505417099,18.6472918497807,0.6607949282422759,Findex 2024,2024,36.3262135673183,54.973505417099,18.6472918497807,0.6607949282422759,9416.05137044735,2024,2366.8328910323,2024,32.415,2024,78.7182686071249,2024,NA,NA,35.3788972368389,2024,0.403,2023,64.9434967,2024,1450935791,2024,9.150171104580217,FALSE
IDN,Indonesia,East Asia & Pacific,Upper middle income,2024,69.9034,75.6503,5.746899999999997,0.9240333481823602,70.0734651337029,70.8486149588815,0.7751498251786018,0.9890590687534474,Findex 2024,2024,70.0734651337029,70.8486149588815,0.7751498251786018,0.9890590687534474,14470.7179806578,2024,4367.94741847938,2024,53.588,2024,98.6691707526139,2024,NA,NA,58.7509635387997,2024,0.423,2023,72.78075544,2024,283487931,2024,9.579882436961107,FALSE
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2021,77.6856,79.5041,1.8185,0.9771269657791234,77.820418086435,77.1432305570795,-0.6771875293554928,1.0087783143701046,Findex 2024,2024,77.820418086435,77.1432305570795,-0.6771875293554928,1.0087783143701046,17484.1320140467,2024,5834.44296939863,2024,14.144,2024,86.1972427368164,2023,NA,NA,77.0201263427734,2024,0.482,2023,85.3404007,2024,91567738,2024,9.769049006517884,FALSE
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2022,72.3028,84.7161,12.413299999999992,0.8534717721897019,65.47414784071151,86.1667778585704,20.69263001785889,0.7598537332819537,Findex 2024,2024,65.47414784071151,86.1667778585704,20.69263001785889,0.7598537332819537,12725.0431260364,2024,4180.29619477317,2024,11.003,2024,NA,NA,NA,NA,69.8861494108913,2024,0.558,2023,81.47450256,2024,46042015,2024,9.451327230492462,FALSE
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2023,92.2942,86.5903,-5.703900000000004,1.0658722743771532,NA,NA,NA,NA,ITU,2023,92.2942,86.5903,-5.703900000000004,1.0658722743771532,11398.8120394641,2023,6127.90771263434,2023,63.047,2023,85.6044566148171,2023,NA,NA,58.4510149367429,2023,0.358,2023,89.47304282,2023,2839786,2023,9.3412644218881,FALSE
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,94.611,96.5139,1.9029000000000025,0.9802836689844676,89.42527780449569,89.1200355180916,-0.3052422864040949,1.0034250691736106,Findex 2024,2024,89.42527780449569,89.1200355180916,-0.3052422864040949,1.0034250691736106,10468.265334284,2024,4441.03974922351,2024,16.008,2024,92.9268253048268,2024,NA,NA,92.9501393764286,2024,0.433,2023,95.62244985,2024,11552876,2024,9.256103610509161,FALSE
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2024,92.6203,94.2114,1.5910999999999973,0.9831113856709486,87.71315063506509,89.126232178839,1.413081543773913,0.9841451668130832,Findex 2024,2024,87.71315063506509,89.126232178839,1.413081543773913,0.9841451668130832,35973.9633287017,2024,11872.7842626298,2024,65.291,2024,96.7445196567945,2024,NA,NA,62.072531584162,2024,0.182,2023,93.39167254,2024,20592571,2024,10.490550714904,FALSE
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2024,32.1852,37.8239,5.6387,0.8509223004502444,49.6259372571647,71.85986222563389,22.23392496846919,0.6905932702924402,Findex 2024,2024,49.6259372571647,71.85986222563389,22.23392496846919,0.6905932702924402,5841.59866001706,2024,1858.87650030024,2024,63.012,2024,84.7505339840655,2023,NA,NA,31.8937831721599,2024,0.526,2023,34.97622513,2024,56432944,2024,8.672759781515058,FALSE
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,NA,NA,NA,NA,NA,92.1697593512115,91.875855530343,-0.2939038208684934,1.003198923364272,Findex 2024,2024,92.1697593512115,91.875855530343,-0.2939038208684934,1.003198923364272,7210.57669830499,2024,1423.58624650541,2024,44.256,2024,92.5232415743903,2024,NA,NA,34.7219977865937,2024,0.34,2023,92.0286026,2024,7221868,2024,8.883304212975576,FALSE
LAO,Lao PDR,East Asia & Pacific,Lower middle income,NA,NA,NA,NA,NA,73.3612142911848,66.9672833652822,-6.393930925902595,1.0954784277424847,Findex 2024,2024,73.3612142911848,66.9672833652822,-6.393930925902595,1.0954784277424847,8600.3245466568,2024,2721.07810663122,2024,61.466,2024,50.9977217073246,2024,NA,NA,39.5552154401406,2024,0.475,2023,65.59269714,2024,7769819,2024,9.059555219512887,FALSE
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,NA,NA,NA,NA,NA,93.3993868223083,95.0218251886465,1.6224383663382014,0.9829256240540826,Findex 2024,2024,93.3993868223083,95.0218251886465,1.6224383663382014,0.9829256240540826,10469.2210966932,2024,5391.22914209501,2024,22.234,2023,67.5449829101562,2024,NA,NA,90.703695784554,2024,0.36,2023,80.63400269,2024,5805962,2024,9.256194907276136,FALSE
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2019,44.9228,38.35,-6.572800000000001,1.171389830508475,47.5138163465784,43.9782665210723,-3.535549825506102,1.080393114717517,Findex 2024,2024,47.5138163465784,43.9782665210723,-3.535549825506102,1.080393114717517,2697.62738436647,2024,1012.59379523386,2024,48.457,2024,NA,NA,NA,NA,43.6780334209246,2024,0.534,2023,51.79660034,2024,2337423,2024,7.900127919137414,FALSE
LBR,Liberia,Sub-Saharan Africa,Low income,NA,NA,NA,NA,NA,29.5571588621117,36.2766255976818,6.719466735570101,0.8147714506279906,Findex 2024,2024,29.5571588621117,36.2766255976818,6.719466735570101,0.8147714506279906,1646.05861366601,2024,665.101337624192,2024,72.021,2024,NA,NA,NA,NA,55.5387986654968,2024,0.646,2023,32.23360062,2024,5612817,2024,7.40613899036364,FALSE
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,NA,NA,NA,NA,NA,81.9462711051532,79.0923306268304,-2.853940478322798,1.036083656350805,Findex 2024,2024,81.9462711051532,79.0923306268304,-2.853940478322798,1.036083656350805,12583.8338726816,2024,7696.0807819319,2024,33.28,2024,NA,NA,NA,NA,87.8854066107749,2024,0.253,2023,81.95449829,2024,7381023,2024,9.440168243179391,FALSE
MDG,Madagascar,Sub-Saharan Africa,Low income,NA,NA,NA,NA,NA,7.51848473590579,14.9051272477778,7.386642511872011,0.5044227138031792,Findex 2024,2024,7.51848473590579,14.9051272477778,7.386642511872011,0.5044227138031792,1659.15030770194,2024,453.957809653992,2024,82.915,2024,35.2580222250234,2021,NA,NA,32.4339893339844,2024,0.584,2023,18.67790031,2024,31964956,2024,7.4140608874739335,FALSE
